道具ID,道具代码,道具英文名称,项目类型类型,价格,项目天数,简短描述,道具中文名称,详细描述
2019211301,C7887,Wide Grenade-Gaming Glory,W,999999999,999999999,Wide Grenade-Gaming Glory,高爆手雷-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级手榴弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211401,C7886,Wide Grenade-Gaming Glory 7days,W,999999999,7,Wide Grenade-Gaming Glory 7days,高爆手雷-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级手榴弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211402,C7886,Wide Grenade-Gaming Glory 30days,W,999999999,30,Wide Grenade-Gaming Glory 30days,高爆手雷-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级手榴弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211403,C7886,Wide Grenade-Gaming Glory 90days,W,999999999,90,Wide Grenade-Gaming Glory 90days,高爆手雷-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级手榴弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211404,C7886,Wide Grenade-Gaming Glory 180days,W,999999999,180,Wide Grenade-Gaming Glory 180days,高爆手雷-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级手榴弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211501,C7885,Flashbang-Gaming Glory,W,999999999,999999999,Flashbang-Gaming Glory,闪光弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级闪光弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211601,C7884,Flashbang-Gaming Glory 7days,W,999999999,7,Flashbang-Gaming Glory 7days,闪光弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级闪光弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211602,C7884,Flashbang-Gaming Glory 30days,W,999999999,30,Flashbang-Gaming Glory 30days,闪光弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级闪光弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211603,C7884,Flashbang-Gaming Glory 90days,W,999999999,90,Flashbang-Gaming Glory 90days,闪光弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级闪光弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211604,C7884,Flashbang-Gaming Glory 180days,W,999999999,180,Flashbang-Gaming Glory 180days,闪光弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级闪光弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211701,C7883,M18 Smoke-Gaming Glory,W,999999999,999999999,M18 Smoke-Gaming Glory,烟雾弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级烟雾弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211801,C7882,M18 Smoke-Gaming Glory 7days,W,999999999,7,M18 Smoke-Gaming Glory 7days,烟雾弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级烟雾弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211802,C7882,M18 Smoke-Gaming Glory 30days,W,999999999,30,M18 Smoke-Gaming Glory 30days,烟雾弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级烟雾弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211803,C7882,M18 Smoke-Gaming Glory 90days,W,999999999,90,M18 Smoke-Gaming Glory 90days,烟雾弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级烟雾弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211804,C7882,M18 Smoke-Gaming Glory 180days,W,999999999,180,M18 Smoke-Gaming Glory 180days,烟雾弹-竞技荣光,职业电竞十周年，锋芒毕露！世界顶级武器工匠制作的英雄级烟雾弹，在本身模型的基础上采用全新的竞技荣光皮肤，不仅提高了本身皮肤的质感，也大大增加了收藏价值!
2019211901,C7881,Kar98K-Satellite Noble Gold,W,999999999,999999999,Kar98K-Satellite Noble Gold,王者星神,传说中的武器匠人特制的王者级“Kar98K“。使用大量尖端的卫星科技打造，搭载着尖端功能的武器只提供给顶尖佣兵使用。外观上采用了精致的金色设计及配色。极大地提升了其收藏价值。
2019212001,C7880,Kar98K-Satellite Noble Gold 7days,W,999999999,7,Kar98K-Satellite Noble Gold 7days,王者星神,传说中的武器匠人特制的王者级“Kar98K“。使用大量尖端的卫星科技打造，搭载着尖端功能的武器只提供给顶尖佣兵使用。外观上采用了精致的金色设计及配色。极大地提升了其收藏价值。
2019212002,C7880,Kar98K-Satellite Noble Gold 30days,W,999999999,30,Kar98K-Satellite Noble Gold 30days,王者星神,传说中的武器匠人特制的王者级“Kar98K“。使用大量尖端的卫星科技打造，搭载着尖端功能的武器只提供给顶尖佣兵使用。外观上采用了精致的金色设计及配色。极大地提升了其收藏价值。
2019212003,C7880,Kar98K-Satellite Noble Gold 90days,W,999999999,90,Kar98K-Satellite Noble Gold 90days,王者星神,传说中的武器匠人特制的王者级“Kar98K“。使用大量尖端的卫星科技打造，搭载着尖端功能的武器只提供给顶尖佣兵使用。外观上采用了精致的金色设计及配色。极大地提升了其收藏价值。
2019212004,C7880,Kar98K-Satellite Noble Gold 180days,W,999999999,180,Kar98K-Satellite Noble Gold 180days,王者星神,传说中的武器匠人特制的王者级“Kar98K“。使用大量尖端的卫星科技打造，搭载着尖端功能的武器只提供给顶尖佣兵使用。外观上采用了精致的金色设计及配色。极大地提升了其收藏价值。
2019212101,C7879,Kar98K-Satellite Noble Gold-NGB,W,999999999,999999999,Kar98K-Satellite Noble Gold-NGB,王者星神,传说中的武器匠人特制的王者级“Kar98K“。使用大量尖端的卫星科技打造，搭载着尖端功能的武器只提供给顶尖佣兵使用。外观上采用了精致的金色设计及配色。极大地提升了其收藏价值。
2019212201,C7878,M4A1-S-Iron Beast-Cyber Punk,W,999999999,999999999,M4A1-S-Iron Beast-Cyber Punk,雷神-赛博幻想,世界顶尖武器名匠倾力之作，用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用了赛博朋克皮肤的限量版武器。
2019212301,C7877,M4A1-S-Iron Beast-Cyber Punk 7days,W,999999999,7,M4A1-S-Iron Beast-Cyber Punk 7days,雷神-赛博幻想,世界顶尖武器名匠倾力之作，用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用了赛博朋克皮肤的限量版武器。
2019212302,C7877,M4A1-S-Iron Beast-Cyber Punk 30days,W,999999999,30,M4A1-S-Iron Beast-Cyber Punk 30days,雷神-赛博幻想,世界顶尖武器名匠倾力之作，用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用了赛博朋克皮肤的限量版武器。
2019212303,C7877,M4A1-S-Iron Beast-Cyber Punk 90days,W,999999999,90,M4A1-S-Iron Beast-Cyber Punk 90days,雷神-赛博幻想,世界顶尖武器名匠倾力之作，用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用了赛博朋克皮肤的限量版武器。
2019212304,C7877,M4A1-S-Iron Beast-Cyber Punk 180days,W,999999999,180,M4A1-S-Iron Beast-Cyber Punk 180days,雷神-赛博幻想,世界顶尖武器名匠倾力之作，用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用了赛博朋克皮肤的限量版武器。
2019212401,C7876,Spas12-RedVoid,W,999999999,999999999,Spas12-RedVoid,试炼破坏者I,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了红色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212501,C7875,Spas12-RedVoid 3days,W,999999999,3,Spas12-RedVoid 3days,试炼破坏者I,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了红色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212502,C7875,Spas12-RedVoid 7days,W,999999999,7,Spas12-RedVoid 7days,试炼破坏者I,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了红色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212503,C7875,Spas12-RedVoid 30days,W,999999999,30,Spas12-RedVoid 30days,试炼破坏者I,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了红色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212504,C7875,Spas12-RedVoid 90days,W,999999999,90,Spas12-RedVoid 90days,试炼破坏者I,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了红色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212505,C7875,Spas12-RedVoid 180days,W,999999999,180,Spas12-RedVoid 180days,试炼破坏者I,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了红色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212601,C7874,Spas12-GreenVoid,W,999999999,999999999,Spas12-GreenVoid,试炼破坏者II,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了绿色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212701,C7873,Spas12-GreenVoid 7days,W,999999999,7,Spas12-GreenVoid 7days,试炼破坏者II,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了绿色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212702,C7873,Spas12-GreenVoid 30days,W,999999999,30,Spas12-GreenVoid 30days,试炼破坏者II,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了绿色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212703,C7873,Spas12-GreenVoid 90days,W,999999999,90,Spas12-GreenVoid 90days,试炼破坏者II,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了绿色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212704,C7873,Spas12-GreenVoid 180days,W,999999999,180,Spas12-GreenVoid 180days,试炼破坏者II,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了绿色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212801,C7872,Spas12-GoldVoid,W,999999999,999999999,Spas12-GoldVoid,试炼破坏者III,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了金色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212901,C7871,Spas12-GoldVoid 7days,W,999999999,7,Spas12-GoldVoid 7days,试炼破坏者III,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了金色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212902,C7871,Spas12-GoldVoid 30days,W,999999999,30,Spas12-GoldVoid 30days,试炼破坏者III,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了金色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212903,C7871,Spas12-GoldVoid 90days,W,999999999,90,Spas12-GoldVoid 90days,试炼破坏者III,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了金色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019212904,C7871,Spas12-GoldVoid 180days,W,999999999,180,Spas12-GoldVoid 180days,试炼破坏者III,在近战能力强大的SPAS-12霰弹枪进行了生物工程改造，并使用了金色装饰，该武器对试炼岛的怪物具备强力的杀伤效果，据说波特博士用它清理失败的实验品。
2019213001,C7870,AK-47-Knife-Born Beast-NoMark,W,999999999,999999999,AK-47-Knife-Born Beast-NoMark,源·AK47-黑武士,世界顶尖武器名匠倾力之作，使用特殊材料打造的AK-47只为世界顶尖佣兵使用，上面精雕细刻着猛虎野兽样式，威武霸气。
2019213101,C7869,AK-47-Knife-Born Beast-NoMark 7days,W,999999999,7,AK-47-Knife-Born Beast-NoMark 7days,源·AK47-黑武士,世界顶尖武器名匠倾力之作，使用特殊材料打造的AK-47只为世界顶尖佣兵使用，上面精雕细刻着猛虎野兽样式，威武霸气。
2019213102,C7869,AK-47-Knife-Born Beast-NoMark 30days,W,999999999,30,AK-47-Knife-Born Beast-NoMark 30days,源·AK47-黑武士,世界顶尖武器名匠倾力之作，使用特殊材料打造的AK-47只为世界顶尖佣兵使用，上面精雕细刻着猛虎野兽样式，威武霸气。
2019213103,C7869,AK-47-Knife-Born Beast-NoMark 90days,W,999999999,90,AK-47-Knife-Born Beast-NoMark 90days,源·AK47-黑武士,世界顶尖武器名匠倾力之作，使用特殊材料打造的AK-47只为世界顶尖佣兵使用，上面精雕细刻着猛虎野兽样式，威武霸气。
2019213104,C7869,AK-47-Knife-Born Beast-NoMark 180days,W,999999999,180,AK-47-Knife-Born Beast-NoMark 180days,源·AK47-黑武士,世界顶尖武器名匠倾力之作，使用特殊材料打造的AK-47只为世界顶尖佣兵使用，上面精雕细刻着猛虎野兽样式，威武霸气。
2019213201,C7868,M4A1-S-Iron Beast-JI JIA XING TIAN,W,14880,999999999,M4A1-S-Iron Beast-JI JIA XING TIAN,御·雷神-机甲刑天,世界顶尖武器名匠倾力之作，使用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用刑天神话人物形象作为皮肤的限量版武器。
2019213301,C7867,M4A1-S-Iron Beast-JI JIA XING TIAN 7days,W,999999999,7,M4A1-S-Iron Beast-JI JIA XING TIAN 7days,御·雷神-机甲刑天,世界顶尖武器名匠倾力之作，使用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用刑天神话人物形象作为皮肤的限量版武器。
2019213302,C7867,M4A1-S-Iron Beast-JI JIA XING TIAN 30days,W,999999999,30,M4A1-S-Iron Beast-JI JIA XING TIAN 30days,御·雷神-机甲刑天,世界顶尖武器名匠倾力之作，使用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用刑天神话人物形象作为皮肤的限量版武器。
2019213303,C7867,M4A1-S-Iron Beast-JI JIA XING TIAN 90days,W,999999999,90,M4A1-S-Iron Beast-JI JIA XING TIAN 90days,御·雷神-机甲刑天,世界顶尖武器名匠倾力之作，使用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用刑天神话人物形象作为皮肤的限量版武器。
2019213304,C7867,M4A1-S-Iron Beast-JI JIA XING TIAN 180days,W,999999999,180,M4A1-S-Iron Beast-JI JIA XING TIAN 180days,御·雷神-机甲刑天,世界顶尖武器名匠倾力之作，使用特殊材料打造的M4A1只为世界顶尖佣兵使用，采用刑天神话人物形象作为皮肤的限量版武器。
9009256401,I7446,M4A1-S-Iron Beast-JI JIA XING TIAN Skin,F,999999999,999999999,M4A1-S-Iron Beast-JI JIA XING TIAN Skin,雷神-机甲刑天皮肤,雷神-机甲刑天的英雄级武器皮肤
9009256501,I7445,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 7days,F,999999999,7,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 7days,雷神-机甲刑天皮肤,雷神-机甲刑天的英雄级武器皮肤
9009256502,I7445,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 30days,F,999999999,30,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 30days,雷神-机甲刑天皮肤,雷神-机甲刑天的英雄级武器皮肤
9009256503,I7445,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 90days,F,999999999,90,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 90days,雷神-机甲刑天皮肤,雷神-机甲刑天的英雄级武器皮肤
9009256504,I7445,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 365days,F,999999999,365,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 365days,雷神-机甲刑天皮肤,雷神-机甲刑天的英雄级武器皮肤
9009256601,I7444,M4A1-S-Iron Beast-JI JIA XING TIAN Skin(Ingame Shop),F,999999999,999999999,M4A1-S-Iron Beast-JI JIA XING TIAN Skin(Ingame Shop),雷神-机甲刑天皮肤,雷神-机甲刑天的英雄级武器皮肤
9009256701,I7443,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 7days(Ingame Shop),F,999999999,7,M4A1-S-Iron Beast-JI JIA XING TIAN Skin 7days(Ingame Shop),雷神-机甲刑天皮肤,雷神-机甲刑天的英雄级武器皮肤
2019213401,C7866,COP. 357-JI JIA XING TIAN,W,999999999,999999999,COP. 357-JI JIA XING TIAN,COP-机甲刑天,在具有快速连射力和高伤害值的COP357Derringer基础上，增加了刑天神话人物形象的皮肤，提升了其收藏价值。
2019213501,C7865,COP. 357-JI JIA XING TIAN 7days,W,999999999,7,COP. 357-JI JIA XING TIAN 7days,COP-机甲刑天,在具有快速连射力和高伤害值的COP357Derringer基础上，增加了刑天神话人物形象的皮肤，提升了其收藏价值。
2019213502,C7865,COP. 357-JI JIA XING TIAN 30days,W,999999999,30,COP. 357-JI JIA XING TIAN 30days,COP-机甲刑天,在具有快速连射力和高伤害值的COP357Derringer基础上，增加了刑天神话人物形象的皮肤，提升了其收藏价值。
2019213503,C7865,COP. 357-JI JIA XING TIAN 90days,W,999999999,90,COP. 357-JI JIA XING TIAN 90days,COP-机甲刑天,在具有快速连射力和高伤害值的COP357Derringer基础上，增加了刑天神话人物形象的皮肤，提升了其收藏价值。
2019213504,C7865,COP. 357-JI JIA XING TIAN 180days,W,999999999,180,COP. 357-JI JIA XING TIAN 180days,COP-机甲刑天,在具有快速连射力和高伤害值的COP357Derringer基础上，增加了刑天神话人物形象的皮肤，提升了其收藏价值。
2019213601,C7864,Kukri-JI JIA XING TIAN,W,999999999,999999999,Kukri-JI JIA XING TIAN,尼泊尔-机甲刑天,采用刑天神话人物形象作为皮肤的Kukri
2019213701,C7863,Kukri-JI JIA XING TIAN 7days,W,999999999,7,Kukri-JI JIA XING TIAN 7days,尼泊尔-机甲刑天,采用刑天神话人物形象作为皮肤的Kukri
2019213702,C7863,Kukri-JI JIA XING TIAN 30days,W,999999999,30,Kukri-JI JIA XING TIAN 30days,尼泊尔-机甲刑天,采用刑天神话人物形象作为皮肤的Kukri
2019213703,C7863,Kukri-JI JIA XING TIAN 90days,W,999999999,90,Kukri-JI JIA XING TIAN 90days,尼泊尔-机甲刑天,采用刑天神话人物形象作为皮肤的Kukri
2019213704,C7863,Kukri-JI JIA XING TIAN 180days,W,999999999,180,Kukri-JI JIA XING TIAN 180days,尼泊尔-机甲刑天,采用刑天神话人物形象作为皮肤的Kukri
2019213801,C7862,Wide Grenade-JI JIA XING TIAN,W,999999999,999999999,Wide Grenade-JI JIA XING TIAN,高爆手雷-机甲刑天,世界顶级武器家制作的手榴弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的手榴弹。
2019213901,C7861,Wide Grenade-JI JIA XING TIAN 7days,W,999999999,7,Wide Grenade-JI JIA XING TIAN 7days,高爆手雷-机甲刑天,世界顶级武器家制作的手榴弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的手榴弹。
2019213902,C7861,Wide Grenade-JI JIA XING TIAN 30days,W,999999999,30,Wide Grenade-JI JIA XING TIAN 30days,高爆手雷-机甲刑天,世界顶级武器家制作的手榴弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的手榴弹。
2019213903,C7861,Wide Grenade-JI JIA XING TIAN 90days,W,999999999,90,Wide Grenade-JI JIA XING TIAN 90days,高爆手雷-机甲刑天,世界顶级武器家制作的手榴弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的手榴弹。
2019213904,C7861,Wide Grenade-JI JIA XING TIAN 180days,W,999999999,180,Wide Grenade-JI JIA XING TIAN 180days,高爆手雷-机甲刑天,世界顶级武器家制作的手榴弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的手榴弹。
2019214001,C7860,Flashbang-JI JIA XING TIAN,W,999999999,999999999,Flashbang-JI JIA XING TIAN,闪光弹-机甲刑天,世界顶级武器家制作的闪光弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的闪光弹。
2019214101,C7859,Flashbang-JI JIA XING TIAN 7days,W,999999999,7,Flashbang-JI JIA XING TIAN 7days,闪光弹-机甲刑天,世界顶级武器家制作的闪光弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的闪光弹。
2019214102,C7859,Flashbang-JI JIA XING TIAN 30days,W,999999999,30,Flashbang-JI JIA XING TIAN 30days,闪光弹-机甲刑天,世界顶级武器家制作的闪光弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的闪光弹。
2019214103,C7859,Flashbang-JI JIA XING TIAN 90days,W,999999999,90,Flashbang-JI JIA XING TIAN 90days,闪光弹-机甲刑天,世界顶级武器家制作的闪光弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的闪光弹。
2019214104,C7859,Flashbang-JI JIA XING TIAN 180days,W,999999999,180,Flashbang-JI JIA XING TIAN 180days,闪光弹-机甲刑天,世界顶级武器家制作的闪光弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的闪光弹。
2019214201,C7858,M18 Smoke-JI JIA XING TIAN,W,999999999,999999999,M18 Smoke-JI JIA XING TIAN,蓝色烟雾弹-机甲刑天,世界顶级武器家制作的烟雾弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的烟雾弹。
2019214301,C7857,M18 Smoke-JI JIA XING TIAN 7days,W,999999999,7,M18 Smoke-JI JIA XING TIAN 7days,蓝色烟雾弹-机甲刑天,世界顶级武器家制作的烟雾弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的烟雾弹。
2019214302,C7857,M18 Smoke-JI JIA XING TIAN 30days,W,999999999,30,M18 Smoke-JI JIA XING TIAN 30days,蓝色烟雾弹-机甲刑天,世界顶级武器家制作的烟雾弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的烟雾弹。
2019214303,C7857,M18 Smoke-JI JIA XING TIAN 90days,W,999999999,90,M18 Smoke-JI JIA XING TIAN 90days,蓝色烟雾弹-机甲刑天,世界顶级武器家制作的烟雾弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的烟雾弹。
2019214304,C7857,M18 Smoke-JI JIA XING TIAN 180days,W,999999999,180,M18 Smoke-JI JIA XING TIAN 180days,蓝色烟雾弹-机甲刑天,世界顶级武器家制作的烟雾弹。虽然基本结构相同，但使用特殊材质制作，采用刑天神话人物形象作为皮肤的烟雾弹。
2019214401,C7856,M82A1-Iron Shark-ZhuQue-NoMark,W,999999999,999999999,M82A1-Iron Shark-ZhuQue-NoMark,源·Barrett-朱雀,世界顶级武器家制作的英雄级“M82A1”。虽然基本结构相同，但使用特殊材质制作，上面精雕细刻着南方守护神红色朱雀形象的限量版武器。
2019214501,C7855,M82A1-Iron Shark-ZhuQue-NoMark 7days,W,999999999,7,M82A1-Iron Shark-ZhuQue-NoMark 7days,源·Barrett-朱雀,世界顶级武器家制作的英雄级“M82A1”。虽然基本结构相同，但使用特殊材质制作，上面精雕细刻着南方守护神红色朱雀形象的限量版武器。
2019214502,C7855,M82A1-Iron Shark-ZhuQue-NoMark 30days,W,999999999,30,M82A1-Iron Shark-ZhuQue-NoMark 30days,源·Barrett-朱雀,世界顶级武器家制作的英雄级“M82A1”。虽然基本结构相同，但使用特殊材质制作，上面精雕细刻着南方守护神红色朱雀形象的限量版武器。
2019214503,C7855,M82A1-Iron Shark-ZhuQue-NoMark 90days,W,999999999,90,M82A1-Iron Shark-ZhuQue-NoMark 90days,源·Barrett-朱雀,世界顶级武器家制作的英雄级“M82A1”。虽然基本结构相同，但使用特殊材质制作，上面精雕细刻着南方守护神红色朱雀形象的限量版武器。
2019214504,C7855,M82A1-Iron Shark-ZhuQue-NoMark 180days,W,999999999,180,M82A1-Iron Shark-ZhuQue-NoMark 180days,源·Barrett-朱雀,世界顶级武器家制作的英雄级“M82A1”。虽然基本结构相同，但使用特殊材质制作，上面精雕细刻着南方守护神红色朱雀形象的限量版武器。
9009256801,I7442,M4A1-S-Iron Beast-CFPL10th Skin,F,999999999,999999999,M4A1-S-Iron Beast-CFPL10th Skin,荣耀之魄-CFPL十周年臻藏版,电竞十年，感谢有你，这款十周年臻藏版荣耀之魄，为所有为穿越火线电竞做出卓越贡献的人而制作！
9009256901,I7441,M4A1-S-Iron Beast-CFPL10th Skin 7days,F,999999999,7,M4A1-S-Iron Beast-CFPL10th Skin 7days,荣耀之魄-CFPL十周年臻藏版,电竞十年，感谢有你，这款十周年臻藏版荣耀之魄，为所有为穿越火线电竞做出卓越贡献的人而制作！
9009256902,I7441,M4A1-S-Iron Beast-CFPL10th Skin 30days,F,999999999,30,M4A1-S-Iron Beast-CFPL10th Skin 30days,荣耀之魄-CFPL十周年臻藏版,电竞十年，感谢有你，这款十周年臻藏版荣耀之魄，为所有为穿越火线电竞做出卓越贡献的人而制作！
9009256903,I7441,M4A1-S-Iron Beast-CFPL10th Skin 90days,F,999999999,90,M4A1-S-Iron Beast-CFPL10th Skin 90days,荣耀之魄-CFPL十周年臻藏版,电竞十年，感谢有你，这款十周年臻藏版荣耀之魄，为所有为穿越火线电竞做出卓越贡献的人而制作！
9009256904,I7441,M4A1-S-Iron Beast-CFPL10th Skin 365days,F,999999999,365,M4A1-S-Iron Beast-CFPL10th Skin 365days,荣耀之魄-CFPL十周年臻藏版,电竞十年，感谢有你，这款十周年臻藏版荣耀之魄，为所有为穿越火线电竞做出卓越贡献的人而制作！
9009257001,I7440,M4A1-S-Iron Beast-CFPL10th Skin(Ingame Shop),F,999999999,999999999,M4A1-S-Iron Beast-CFPL10th Skin(Ingame Shop),荣耀之魄-CFPL十周年臻藏版,电竞十年，感谢有你，这款十周年臻藏版荣耀之魄，为所有为穿越火线电竞做出卓越贡献的人而制作！
9009257101,I7439,M4A1-S-Iron Beast-CFPL10th Skin 7days(Ingame Shop),F,999999999,7,M4A1-S-Iron Beast-CFPL10th Skin 7days(Ingame Shop),荣耀之魄-CFPL十周年臻藏版,电竞十年，感谢有你，这款十周年臻藏版荣耀之魄，为所有为穿越火线电竞做出卓越贡献的人而制作！
2019214601,C7854,Dual Colt 1911-National League,W,999999999,999999999,Dual Colt 1911-National League,柯尔特-百城,柯尔特公司特制的手枪。在基本的战斗移动速度基础上，提升了攻击力和战斗力。外观以青铜色的霓虹灯点缀，并使用特殊材质制作。枪身上“百城联赛”的LOGO以及曾经百城冠军福建的“土楼”霓虹灯标志，极大的提升它的收藏价值。
